#,Player,Team,Age,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
33,Jusuf Nurkic,POR,22,65,34,31,1391,17.1,7.0,13.8,50.7,0.0,0.0,0.0,3.1,5.4,57.1,4.0,8.1,12.1,3.2,3.7,1.3,1.9,4.2,42.3,13,0,-1.4
34,Kevin Love,CLE,28,60,40,20,1885,21.8,7.1,16.6,42.7,2.8,7.4,37.3,4.9,5.6,87.1,2.8,9.9,12.7,2.2,2.3,1.0,0.4,2.4,42.3,41,0,6.4
35,Dwight Howard,ATL,31,74,37,37,2199,16.4,6.4,10.0,63.3,0.0,0.0,0.0,3.7,6.9,53.3,4.8,10.5,15.4,1.7,2.8,1.0,1.5,3.3,42.3,53,0,-1.9
36,Enes Kanter,OKC,25,72,43,29,1533,24.3,9.4,17.3,54.5,0.1,0.9,13.2,5.3,6.7,78.6,4.6,6.7,11.3,1.6,2.9,0.8,0.9,3.6,42.2,18,0,1.3
37,Draymond Green,GSW,27,76,62,14,2471,11.3,4.0,9.5,41.8,1.2,3.8,30.8,2.2,3.1,70.9,1.4,7.3,8.7,7.8,2.7,2.2,1.5,3.2,42.1,17,5,11.9
38,Eric Bledsoe,PHX,27,66,22,44,2176,23.0,7.4,17.1,43.4,1.7,5.1,33.5,6.4,7.6,84.7,0.9,4.4,5.3,6.9,3.7,1.5,0.5,2.7,42.1,7,1,-3.0
39,Brook Lopez,BKN,29,75,20,55,2222,24.9,9.0,19.0,47.4,2.2,6.3,34.6,4.8,5.9,81.0,2.0,4.6,6.5,2.9,3.0,0.6,2.0,3.1,41.9,2,0,-2.5
40,Greg Monroe,MIL,27,81,42,39,1823,18.8,7.6,14.3,53.3,0.0,0.1,0.0,3.5,4.7,74.1,3.3,7.2,10.5,3.7,2.8,1.8,0.8,3.3,41.9,13,0,2.7
41,Clint Capela,HOU,23,65,44,21,1551,19.0,8.4,13.1,64.3,0.0,0.0,0.0,2.2,4.1,53.1,4.1,8.1,12.2,1.5,2.0,0.8,1.8,4.2,41.7,15,0,5.0
42,Rudy Gobert,UTA,25,81,51,30,2744,14.9,5.4,8.2,66.1,0.0,0.0,0.0,4.1,6.2,65.3,4.1,9.5,13.6,1.3,1.9,0.6,2.8,3.2,41.5,58,0,5.7
43,DeMar DeRozan,TOR,27,74,47,27,2620,27.8,9.9,21.2,46.7,0.5,1.7,26.6,7.5,8.9,84.2,1.0,4.3,5.3,4.0,2.5,1.1,0.2,1.8,41.4,5,0,2.0
44,DeAndre Jordan,LAC,28,81,51,30,2570,14.4,5.8,8.1,71.4,0.0,0.0,0.0,2.9,6.0,48.2,4.2,11.4,15.6,1.3,1.6,0.7,1.9,3.0,41.3,41,0,6.4
45,David West,GSW,36,68,56,12,854,13.3,5.7,10.6,53.6,0.1,0.3,37.5,1.8,2.4,76.8,2.0,6.6,8.6,6.4,3.3,1.8,2.0,4.4,41.2,0,0,5.1
47,Kyrie Irving,CLE,25,72,47,25,2525,25.9,9.6,20.2,47.3,2.5,6.3,40.1,4.2,4.7,90.5,0.7,2.5,3.3,6.0,2.6,1.2,0.3,2.2,40.8,8,0,4.8
48,Marc Gasol,MEM,32,74,40,34,2531,20.6,7.6,16.5,45.9,1.5,3.8,38.8,4.0,4.7,83.7,0.9,5.7,6.6,4.8,2.4,1.0,1.4,2.4,40.4,11,2,0.9
49,Dwyane Wade,CHI,35,60,29,31,1792,22.0,8.3,19.2,43.4,0.9,2.9,31.0,4.5,5.6,79.4,1.3,4.2,5.4,4.6,2.8,1.7,0.8,2.2,40.3,2,0,-1.5
50,Pau Gasol,SAS,36,64,47,17,1627,17.5,6.7,13.4,50.2,1.2,2.3,53.8,2.9,4.1,70.7,2.4,8.7,11.1,3.3,1.8,0.5,1.5,2.4,40.3,11,0,5.0
51,Nerlens Noel,DAL,23,51,24,27,1047,15.3,6.3,10.6,59.5,0.0,0.0,0.0,2.6,3.8,69.4,3.2,6.9,10.1,1.7,1.8,2.2,1.7,4.3,40.1,3,0,-2.9
